force,torque,pow,rpm,vel,uts,fpr
6391.6787,19.402,2.475791,600.0051,61.169,215.4662,0.101947467
7744.8979,13.795,2.466256,998.6482,147.743,244.8175,0.147942989
5664.6782,17.444,2.482697,599.9013,38.052,210.0918,0.063430434
2161.8586,5.073,2.467242,2165.5581,46.062,171.4773,0.021270267
5511.8613,8.277,2.466584,1761.6368,100.25,208.2467,0.056907303
2526.7043,10.591,2.471188,599.4679,73.128,221.075,0.121988183
4102.4199,9.968,2.477436,1372.3042,57.678,192.8959,0.04203004
4730.1343,8.633,2.478093,1367.5394,48.58,199.8093,0.035523657
4218.752,6.675,2.464283,2547.3423,54.302,188.5268,0.021317119
4018.6851,8.366,2.474476,1389.6068,35.648,191.0587,0.0256533
4014.7974,6.853,2.469873,1767.5646,42.057,190.3269,0.023793756
3827.2903,6.675,2.467242,2165.5354,56.877,194.1913,0.026264636
4949.042,7.387,2.466256,2153.8252,83.885,207.3997,0.038946986
3428.9504,6.141,2.466913,2165.9053,47.321,171.4773,0.021848139
3693.613,6.408,2.467571,2161.4719,52.471,171.4773,0.024275587
6292.0937,12.816,2.469544,997.337,76.275,229.4368,0.076478663
3231.575,6.052,2.468557,2161.677,36.392,185.7625,0.016835078
5001.6753,9.078,2.474476,1380.0874,49.896,199.8093,0.036154232
4066.5334,8.188,2.47349,1385.8531,50.297,199.8093,0.036293168
1940.2595,5.073,2.468886,1777.0126,35.133,190.3269,0.019770822
5568.6821,8.722,2.458035,1759.8892,201.13,241.6836,0.114285604
3779.741,6.052,2.466913,2556.7415,60.482,188.5268,0.023655892
5158.9775,11.392,2.47053,1000.735,43.602,225.5982,0.043569976
5279.1973,11.303,2.474476,998.5064,46.177,224.5843,0.046246073
3388.877,5.607,2.462967,2561.9094,51.899,186.0936,0.020257937
4695.7432,9.078,2.474476,1372.3584,55.733,199.8093,0.040611111
5664.0801,16.821,2.450472,599.2619,39.024,210.0918,0.065120109
3679.8567,6.497,2.456062,2160.7478,53.615,171.4773,0.024813169
3230.0796,5.696,2.466256,2559.5017,153.637,226.2221,0.060026137
5270.2261,7.654,2.461323,1760.7318,61.855,197.9676,0.035130279
3394.26,12.104,2.318945,600.1189,150.204,150.709,0.250290401
4011.8066,6.586,2.467571,1765.5302,41.428,190.3269,0.023464906
5716.1157,15.575,2.348867,599.9057,38.166,210.0918,0.063619999
4492.9844,8.989,2.473819,1379.5164,64.144,192.8959,0.046497454
5196.3599,17.088,2.421865,600.0166,48.637,214.6092,0.081059424
5933.229,17.088,2.413316,599.6593,37.651,210.0918,0.062787319
3243.8359,5.963,2.468886,2563.1514,40.455,178.4046,0.015783305
5013.6372,7.476,2.460666,1762.8416,51.041,195.139,0.028953821
4497.7695,8.099,2.476778,1375.2808,55.504,199.8093,0.040358304
6333.9609,18.423,2.468557,599.3736,60.139,215.4662,0.100336418
4605.4287,7.565,2.47053,1764.3146,48.408,195.139,0.027437284
6131.5015,12.727,2.463625,999.8744,76.733,229.4368,0.076742639
7249.3652,8.099,2.463954,2153.5461,199.757,190.0223,0.092757244
5700.2656,15.219,2.311711,600.2694,57.564,215.4662,0.095896942
5198.1538,10.947,2.472503,999.3752,43.716,225.5982,0.043743331
3395.7554,5.785,2.478422,2167.4595,52.185,171.4773,0.024076574
4908.9687,9.523,2.478422,1372.7224,81.024,188.4414,0.059024315
3442.7068,8.811,2.46231,1760.036,50.755,195.139,0.028837478
4350.0366,8.544,2.478751,1378.1967,50.926,199.8093,0.036951184
4760.0396,10.947,2.475791,1001.747,47.665,224.5843,0.047581874
4697.8364,7.832,2.46494,1756.4261,97.218,208.2467,0.055349895
5119.8013,7.031,2.470202,2542.6313,199.299,225.6616,0.078382973
3636.4939,6.23,2.465598,2557.4055,57.85,188.5268,0.022620582
3541.9927,6.408,2.468557,2162.1724,50.755,171.4773,0.023474076
3907.7358,8.188,2.474476,1372.4122,36.793,191.0587,0.026809001
2588.6086,5.34,2.465598,2173.6758,61.34,194.1913,0.02821948
4069.5242,6.586,2.4679,2156.917,60.539,194.1913,0.028067376
4965.1904,6.586,2.464283,2548.8516,78.22,193.8919,0.03068833
4267.498,8.811,2.473161,998.056,50.926,224.5843,0.051025193
6327.6807,16.999,2.47349,599.1064,52.128,214.6092,0.087009586
